Company Name,Domain,Description,Industry,Size,Type,City,State or Province,Country,LinkedIn URL,Enrich company,Employee Count,Founded,Follower Count,Scrape website,Lead Temperature,Personalized Opener,Use AI Email Opener
Smith,smithweb.com,"Founded in 1984, Smith is the leading independent distributor of electronic components. Smith’s Intelligent DistributionTM model offers a comprehensive suite of flexible and scalable supply chain solutions to source, manage, test, and ship billions of components to partners worldwide in every industry and vertical. The company is backed by more than 25 certifications and accreditations and has developed and implemented sustainable practices that exceed industry and regulatory requirements. Building on its decades of market data, cutting-edge technology, and a systems-based approach to quality excellence, Smith generated more than USD $3.4 billion in global revenue in 2025 and ranks eighth among all global distributors. Visit www.smithweb.com to learn more.",Semiconductor Manufacturing,"501-1,000",Privately Held,Houston,Texas,United States,https://www.linkedin.com/company/smith-&-associates,Smith,"1,776",1984,"132,497",✅ smithweb.com,Hot,Noticed Smith’s Intelligent Distribution model and the more than $3.4 billion in global revenue i...,Noticed Smith’s Intelligent Distribution model and the more than $3.4 billion in global revenue in 2025.
Cerebras,cerebras.ai,"Cerebras Systems builds the world's fastest AI inference. We are powering the future of generative AI. We’re a team of pioneering computer architects, deep learning researchers, and engineers building a new class of AI supercomputers from the ground up.

From sub-second inference speeds to breakthrough training performance, Cerebras makes it easier to build and deploy state-of-the-art AI—from proprietary enterprise models to open-source projects downloaded millions of times.

Here’s what makes our platform different:
 Sub-second reasoning – Instant intelligence and real-time responsiveness, even at massive scale
 Blazing-fast inference – Up to 30x faster than GPUs
 Agentic AI in action – Models that can plan, act, and adapt autonomously
 Scalable infrastructure – Built to move from prototype to global deployment without friction

Cerebras solutions are available in the Cerebras Cloud or on-prem, serving leading enterprises, research labs, and government agencies worldwide.

 Learn more: https://www.cerebras.ai 
Join us: https://cerebras.net/careers/",Semiconductor Manufacturing,"501-1,000",Public Company,Sunnyvale,California,United States,https://www.linkedin.com/company/cerebras-systems,Cerebras,"1,036",,"128,606",✅ cerebras.ai,Hot,Noticed Cerebras is pushing sub-second inference and up to 30x faster performance than GPUs.,Noticed Cerebras is pushing sub-second inference and up to 30x faster performance than GPUs.
Yield Engineering Systems,yes.tech,"YES provides surface and materials enhancement systems (thermal processing, wet processing, plasma cleaning, and coating) that enable innovation for technology leaders across a wide spectrum of markets, including advanced packaging, IoT, life sciences, AR/VR, MEMS, power, automotive and sensors.",Semiconductor Manufacturing,201-500,Privately Held,Fremont,California,United States,https://www.linkedin.com/company/yield-engineering-systems,Yield Engineering Systems,436,1980,"91,879",✅ yes.tech,Warm,"I noticed YES provides thermal processing, wet processing, plasma cleaning, and coating for advan...","I noticed YES provides thermal processing, wet processing, plasma cleaning, and coating for advanced packaging and MEMS markets."
Rambus,rambus.com,"Dedicated to making data faster and safer, Rambus creates innovative hardware, software and services that drive technology advancements from the data center to the mobile edge. Our architecture licenses, IP cores, chips, software, and services span memory and interfaces, security, and emerging technologies to positively impact the modern world. We collaborate with the industry, partnering with leading chip and system designers, foundries, and service providers. Integrated into tens of billions of devices and systems, our products and technologies power and secure diverse applications, including Big Data, Internet of Things (IoT) security and much more!",Semiconductor Manufacturing,"501-1,000",Public Company,San Jose,California,United States,https://www.linkedin.com/company/rambus,Rambus,"1,159",1990,"74,840",✅ rambus.com,Hot,"Noticed Rambus technology is integrated into tens of billions of devices and systems, spanning me...","Noticed Rambus technology is integrated into tens of billions of devices and systems, spanning memory, interfaces, security, and emerging technologies."
SiFive,sifive.com,The heart of SiFive is RISC-V! SiFive creates the building blocks of RISC-V-based IP that are the inevitable innovative reimagining of every computing platform.,Semiconductor Manufacturing,"501-1,000",Privately Held,Santa Clara,California,United States,https://www.linkedin.com/company/sifive,SiFive,521,,"67,368",✅ sifive.com,Hot,I noticed SiFive focuses on building blocks of RISC-V-based IP for reimagining computing platforms.,I noticed SiFive focuses on building blocks of RISC-V-based IP for reimagining computing platforms.
SEMI,semi.org,"SEMI® is the global industry association connecting over 4,000 companies and 1.5 million professionals worldwide across the semiconductor and electronics design and manufacturing supply chain. We accelerate member collaboration on solutions to top industry challenges through Advocacy, Workforce Development, Sustainability, Supply Chain Management and other programs. Our SEMICON® expositions and events, technology communities, standards and market intelligence help advance our members’ business growth and innovations in design, devices, equipment, materials, services and software, enabling smarter, faster, more secure electronics.",Semiconductor Manufacturing,201-500,Non Profit,Milpitas,California,United States,https://www.linkedin.com/company/semi,SEMI,792,1970,"57,468",✅ semi.org,Warm,"Noticed SEMI connects over 4,000 companies and 1.5 million professionals across the semiconductor...","Noticed SEMI connects over 4,000 companies and 1.5 million professionals across the semiconductor and electronics supply chain."
Power Integrations,power.com,"Power Integrations, Inc., is a Silicon Valley-based supplier of high-performance electronic components used in high-voltage power-conversion systems. Our integrated circuits and diodes enable compact, energy-efficient AC-DC power supplies for a vast range of electronic products including mobile devices, TVs, PCs, appliances, smart utility meters and LED lights. Our SCALETM IGBT drivers enhance the efficiency, reliability and cost of high-power applications such as industrial motor drives, solar and wind energy systems, electric vehicles and high-voltage DC transmission. Since its introduction in 1998, Power Integrations' EcoSmart® energy-efficiency technology has prevented billions of dollars' worth of energy waste and millions of tons of carbon emissions. Reflecting the environmental benefits of our products, Power Integrations' stock is a member of clean-technology stock indices sponsored by Cleantech Group LLC and Clean Edge. Visit our Green Room for a comprehensive guide to energy-efficiency standards around the world. For more information please visit www.power.com.",Semiconductor Manufacturing,"501-1,000",Public Company,San Jose,California,United States,https://www.linkedin.com/company/power-integrations,Power Integrations,"1,119",1998,"57,453",✅ power.com,Hot,Noticed EcoSmart has been reducing energy waste since 1998 across your power-conversion products.,Noticed EcoSmart has been reducing energy waste since 1998 across your power-conversion products.
Astera Labs,asteralabs.com,"Astera Labs (NASDAQ: ALAB) provides rack-scale AI infrastructure through purpose-built connectivity solutions. By collaborating with hyperscalers and ecosystem partners, Astera Labs enables organizations to unlock the full potential of modern AI. Astera Labs’ Intelligent Connectivity Platform integrates CXL®, Ethernet, NVLinkTM Fusion, PCIe®, and UALinkTM semiconductor-based technologies with the company’s COSMOS software suite to unify diverse components into cohesive, flexible systems that deliver end-to-end scale-up, and scale-out connectivity. The company’s custom connectivity solutions business complements its standards-based portfolio, enabling customers to deploy tailored architectures to meet their unique infrastructure requirements. Discover more at www.asteralabs.com.",Semiconductor Manufacturing,"501-1,000",Public Company,San Jose,California,United States,https://www.linkedin.com/company/astera-labs,Astera Labs,"1,210",2017,"55,696",✅ asteralabs.com,Hot,"Noticed your Intelligent Connectivity Platform brings together CXL, NVLink Fusion, and COSMOS sof...","Noticed your Intelligent Connectivity Platform brings together CXL, NVLink Fusion, and COSMOS software to unify scale-up and scale-out connectivity."
Orbit & Skyline,orbitskyline.com,"Orbit & Skyline is a leading semiconductor services provider with a strong and seasoned team of experienced engineers. We deliver innovation and value in a wide range of semiconductor industry services ranging from mechanical, electrical, and software engineering services for our OEM clients to supply chain and on-site tool technology and tool startup, maintenance, and process services for our semiconductor fab customers. Our client list boasts of prestigious IC chip manufacturers and OEM spread over USA, Asia, Middle East and Europe. With our wide range of services, Orbit & Skyline improves ROI, operational efficiency, and provides competitive advantage to our clients.",Semiconductor Manufacturing,"501-1,000",Privately Held,Newport Beach,California,United States,https://www.linkedin.com/company/orbitskyline,Orbit & Skyline,481,,"46,971",✅ orbitskyline.com,Hot,"I noticed your semiconductor services span OEM clients and fab customers across the USA, Asia, th...","I noticed your semiconductor services span OEM clients and fab customers across the USA, Asia, the Middle East, and Europe."
Alphawave Semi,awavesemi.com,"We work to create silicon that enables the highest performing, most reliable and lowest power digital communication networks.

Alphawave Semi is a global leader in high-speed connectivity for the world’s technology infrastructure. Faced with the exponential growth of data, Alphawave Semi’s technology services a critical need: Enabling data to travel faster, more reliably and with higher performance at lower power. 

We are a vertically integrated semiconductor company, and our IP, custom silicon, and connectivity products are deployed by global tier-one customers in data centers, compute, networking, AI, 5G, autonomous vehicles, and storage. Founded in 2017 by an expert technical team with a proven track record in licensing semiconductor IP, our mission is to accelerate the critical data infrastructure at the heart of our digital world.",Semiconductor Manufacturing,"501-1,000",Public Company,Toronto,Ontario,Canada,https://www.linkedin.com/company/awavesemi,Alphawave Semi,546,,"45,997",✅ awavesemi.com,Hot,"Noticed your IP, custom silicon, and connectivity products are deployed across data centers, AI, ...","Noticed your IP, custom silicon, and connectivity products are deployed across data centers, AI, 5G, autonomous vehicles, and storage."
